모델명,제조/수입사,차종,유형,자동차형식,연료종류,배기량,변속형식,복합모드_CO2,복합_연비,등급,,행 레이블,평균 : 복합_연비,
쏘렌토(MQ4) 2.5T-GDI 2WD 7인 20인치타이어,기아,승용차,다목적형,내연기관,휘발유,2497,자동8,164,10.30 ,4등급,TRUE,,,
쏘렌토(MQ4) 2.5T-GDI 2WD 7인 18인치타이어,기아,승용차,다목적형,내연기관,휘발유,2497,자동8,159,10.60 ,4등급,TRUE,,,
쏘렌토(MQ4) 2.5T-GDI 2WD 5인 18인치타이어,기아,승용차,다목적형,내연기관,휘발유,2497,자동8,153,11.00 ,4등급,TRUE,,,
쏘렌토(MQ4) 2.5T-GDI 2WD 5인 18인치(빌트인캠),기아,승용차,다목적형,내연기관,휘발유,2497,자동8,154,10.90 ,4등급,TRUE,,,
BMW 420d Coupe,BMW,승용차,일반형,내연기관,경유,1995,자동8,132,14.30 ,2등급,TRUE,,,
BMW 540i xDrive,BMW,승용차,일반형,내연기관,휘발유,2998,자동8,170,9.90 ,4등급,TRUE,,,
BMW 430i Coupe,BMW,승용차,일반형,내연기관,휘발유,1998,자동8,150,11.10 ,4등급,TRUE,,,
911 터보 S 카브리올레,포르쉐,승용차,일반형,내연기관,휘발유,3745,자동8,257,6.80 ,5등급,TRUE,,,
911 터보 S,포르쉐,승용차,일반형,내연기관,휘발유,3745,자동8,257,6.80 ,5등급,TRUE,,,
스팅어(CK PE) 3.3T-GDI 2WD_19인치(썸머),기아,승용차,일반형,내연기관,휘발유,3342,자동8,192,8.80 ,5등급,TRUE,,,
스팅어(CK PE) 3.3T-GDI 2WD_19인치(올시즌),기아,승용차,일반형,내연기관,휘발유,3342,자동8,192,9.00 ,5등급,TRUE,,,
스팅어(CK PE) 3.3T-GDI AWD_19인치(썸머),기아,승용차,일반형,내연기관,휘발유,3342,자동8,202,8.40 ,5등급,TRUE,,,
스팅어(CK PE) 3.3T-GDI AWD_19인치(올시즌),기아,승용차,일반형,내연기관,휘발유,3342,자동8,203,8.50 ,5등급,TRUE,,,
MINI Cooper D Countryman ALL4,MINI,승용차,일반형,내연기관,경유,1995,자동8,130,14.50 ,2등급,TRUE,,,
BMW X5 xDrive40i,BMW,승용차,다목적형,내연기관,휘발유,2998,자동8,210,8.10 ,5등급,TRUE,,,
BMW 520i,BMW,승용차,일반형,내연기관,휘발유,1998,자동8,135,12.40 ,3등급,TRUE,,,
MINI Cooper Countryman ,MINI,승용차,일반형,내연기관,휘발유,1499,자동7,144,11.60 ,3등급,TRUE,,,
BMW 630i xDrive,BMW,승용차,일반형,내연기관,휘발유,2998,자동8,186,9.30 ,5등급,TRUE,,,
BMW 420i Coupe,BMW,승용차,일반형,내연기관,휘발유,1998,자동8,145,11.50 ,4등급,TRUE,,,
BMW 218d Gran Coupe,BMW,승용차,일반형,내연기관,경유,1995,자동8,132,14.30 ,2등급,TRUE,,,
BMW X7 M50i,BMW,승용차,다목적형,내연기관,휘발유,4395,자동8,265,6.50 ,5등급,TRUE,,,
MINI Cooper D Countryman ,MINI,승용차,일반형,내연기관,경유,1995,자동8,124,15.20 ,2등급,TRUE,,,
MINI Cooper SD Countryman ALL4,MINI,승용차,일반형,내연기관,경유,1995,자동8,133,14.30 ,2등급,TRUE,,,
투싼 1.6T-GDI AWD 7DCT 19인치 (빌트인캠),현대,승용차,다목적형,내연기관,휘발유,1598,자동7,153,11.00 ,4등급,TRUE,,,
투싼 1.6T-GDI AWD 7DCT 18인치 (빌트인캠),현대,승용차,다목적형,내연기관,휘발유,1598,자동7,148,11.30 ,4등급,TRUE,,,
투싼 1.6T-GDI AWD 7DCT 17/18인치,현대,승용차,다목적형,내연기관,휘발유,1598,자동7,145,11.60 ,3등급,TRUE,,,
투싼 1.6T-GDI 2WD 7DCT 19인치 (빌트인캠),현대,승용차,다목적형,내연기관,휘발유,1598,자동7,139,12.00 ,3등급,TRUE,,,
투싼 1.6T-GDI 2WD 7DCT 18인치 (빌트인캠),현대,승용차,다목적형,내연기관,휘발유,1598,자동7,136,12.30 ,3등급,TRUE,,,
투싼 1.6T-GDI 2WD 7DCT 17/18인치,현대,승용차,다목적형,내연기관,휘발유,1598,자동7,133,12.50 ,3등급,TRUE,,,
투싼 2.0디젤 AWD 8AT 19인치 (빌트인캠),현대,승용차,다목적형,내연기관,경유,1998,자동8,148,13.00 ,3등급,TRUE,,,
투싼 2.0디젤 AWD 8AT 18인치 (빌트인캠),현대,승용차,다목적형,내연기관,경유,1998,자동8,145,13.20 ,3등급,TRUE,,,
투싼 2.0디젤 AWD 8AT 17/18인치,현대,승용차,다목적형,내연기관,경유,1998,자동8,144,13.30 ,3등급,TRUE,,,
투싼 2.0디젤 2WD 8AT 19인치 (빌트인캠),현대,승용차,다목적형,내연기관,경유,1998,자동8,137,13.90 ,2등급,TRUE,,,
투싼 2.0디젤 2WD 8AT 18인치 (빌트인캠),현대,승용차,다목적형,내연기관,경유,1998,자동8,134,14.20 ,2등급,TRUE,,,
투싼 2.0디젤 2WD 8AT 18인치,현대,승용차,다목적형,내연기관,경유,1998,자동8,133,14.30 ,2등급,TRUE,,,
투싼 2.0디젤 2WD 8AT 17인치,현대,승용차,다목적형,내연기관,경유,1998,자동8,128,14.80 ,2등급,TRUE,,,
스팅어(CK PE) 2.5T-GDI AWD_19인치(썸머),기아,승용차,일반형,내연기관,휘발유,2497,자동8,172,9.90 ,4등급,TRUE,,,
스팅어(CK PE) 2.5T-GDI AWD_19인치(올시즌),기아,승용차,일반형,내연기관,휘발유,2497,자동8,170,10.00 ,4등급,TRUE,,,
R8 V10 performance,아우디,승용차,일반형,내연기관,휘발유,5204,자동7,296,6.00 ,5등급,TRUE,,,
BMW 530i,BMW,승용차,일반형,내연기관,휘발유,1998,자동8,139,12.00 ,3등급,TRUE,,,
BMW 530i xDrive,BMW,승용차,일반형,내연기관,휘발유,1998,자동8,153,11.00 ,4등급,TRUE,,,
MINI John Cooper Works Countryman ALL4,MINI,승용차,일반형,내연기관,휘발유,1998,자동8,162,10.40 ,4등급,TRUE,,,
스팅어(CK PE) 2.5T-GDI AWD_18인치타이어,기아,승용차,일반형,내연기관,휘발유,2497,자동8,166,10.20 ,4등급,TRUE,,,
BMW X5 xDrive40d,BMW,승용차,다목적형,하이브리드,경유,2993,자동8,191,10.10 ,4등급,TRUE,,,
스팅어(CK PE) 2.5T-GDI 2WD_19인치(썸머),기아,승용차,일반형,내연기관,휘발유,2497,자동8,160,10.60 ,4등급,TRUE,,,
CHEVROLET COLORADO AWD,GM,화물차,일반형,내연기관,휘발유,3649,자동8,216,8.10 ,5등급,TRUE,,,
CHEVROLET COLORADO RWD,GM,화물차,일반형,내연기관,휘발유,3649,자동8,210,8.30 ,5등급,TRUE,,,
스팅어(CK PE) 2.5T-GDI 2WD_19인치(올시즌),기아,승용차,일반형,내연기관,휘발유,2497,자동8,156,10.80 ,4등급,TRUE,,,
스팅어(CK PE) 2.5T-GDI 2WD_18인치타이어,기아,승용차,일반형,내연기관,휘발유,2497,자동8,151,11.20 ,4등급,TRUE,,,
LSEV,코리아에어카고,화물차,밴형,전기,전기,,없음,0,4.40 ,3등급,TRUE,,,
BMW M5 Competition Package,BMW,승용차,일반형,내연기관,휘발유,4395,자동8,225,7.60 ,5등급,TRUE,,,
쏘나타(DN8) 2.0GDI 하이브리드_18인치타이어,현대,승용차,일반형,하이브리드,휘발유,1999,자동6,88,18.00 ,1등급,TRUE,,,
쏘나타(DN8) 2.0GDI 하이브리드_18인치(빌트인캠),현대,승용차,일반형,하이브리드,휘발유,1999,자동6,91,17.60 ,1등급,TRUE,,,
투싼 1.6T-GDI 하이브리드 6AT (빌트인캠),현대,승용차,다목적형,하이브리드,휘발유,1598,자동6,102,15.80 ,2등급,TRUE,,,
투싼 1.6T-GDI 하이브리드 6AT,현대,승용차,다목적형,하이브리드,휘발유,1598,자동6,99,16.20 ,1등급,TRUE,,,
페라리 SF90 Stradale,페라리,승용차,일반형,PHEV,전기+휘발유,3990,자동8,163,2.7 / 7.4,PHEV,,,,
S5 Coupe TFSI,아우디,승용차,일반형,내연기관,휘발유,2995,자동8,183,9.50 ,4등급,TRUE,,,
말리부 2.0 TURBO,한국지엠,승용차,일반형,내연기관,휘발유,1998,자동6,163,10.50 ,4등급,TRUE,,,
BMW 320d,BMW,승용차,일반형,내연기관,경유,1995,자동8,126,14.90 ,2등급,TRUE,,,
BMW 320d xDrive,BMW,승용차,일반형,내연기관,경유,1995,자동8,134,14.10 ,2등급,TRUE,,,
캐딜락 XT4,GM,승용차,다목적형,내연기관,휘발유,1998,자동9,173,10.00 ,4등급,TRUE,,,
카니발 3.5GDI 11인 18인치타이어,기아,승합차,일반형,내연기관,휘발유,3470,자동8,188,9.10 ,5등급,TRUE,,,
카니발 3.5GDI 11인 18인치타이어(빌트인캠),기아,승합차,일반형,내연기관,휘발유,3470,자동8,188,9.10 ,5등급,TRUE,,,
카니발 3.5GDI 7인 19인치타이어,기아,승용차,기타형,내연기관,휘발유,3470,자동8,192,8.90 ,5등급,TRUE,,,
카니발 3.5GDI 7인 19인치타이어(빌트인캠),기아,승용차,기타형,내연기관,휘발유,3470,자동8,193,8.90 ,5등급,TRUE,,,
카니발 3.5GDI 9인 18인치/19인치타이어,기아,승용차,기타형,내연기관,휘발유,3470,자동8,187,9.10 ,5등급,TRUE,,,
카니발 2.2디젤 11인 18인치타이어(빌트인캠),기아,승합차,일반형,내연기관,경유,2151,자동8,154,12.40 ,3등급,TRUE,,,
카니발 2.2디젤 11인 18인치타이어,기아,승합차,일반형,내연기관,경유,2151,자동8,151,12.70 ,3등급,TRUE,,,
카니발 2.2디젤 9인 18인치/19인치타이어(빌트인캠),기아,승용차,기타형,내연기관,경유,2151,자동8,147,13.00 ,3등급,TRUE,,,
카니발 2.2디젤 9인 18인치/19인치타이어,기아,승용차,기타형,내연기관,경유,2151,자동8,146,13.10 ,3등급,TRUE,,,
카니발 2.2디젤 7인 19인치타이어(빌트인캠),기아,승용차,기타형,내연기관,경유,2151,자동8,153,12.50 ,3등급,TRUE,,,
페라리 SF90 Stradale Assetto Fiorano,페라리,승용차,일반형,PHEV,전기+휘발유,3990,자동8,163,2.7 / 7.4,PHEV,,,,
카니발 2.2디젤 7인 19인치타이어,기아,승용차,기타형,내연기관,경유,2151,자동8,153,12.60 ,3등급,TRUE,,,
카니발 3.5GDI 9인 18인치/19인치타이어 (빌트인캠),기아,승용차,기타형,내연기관,휘발유,3470,자동8,188,9.10 ,5등급,TRUE,,,
페라리 Roma,페라리,승용차,일반형,내연기관,휘발유,3855,자동8,237,7.40 ,5등급,TRUE,,,
싼타페 2.2디젤 2WD 5인 18인치타이어,현대,승용차,다목적형,내연기관,경유,2151,자동8,134,14.20 ,2등급,TRUE,,,
싼타페 2.2디젤 2WD 7인 18인치타이어,현대,승용차,다목적형,내연기관,경유,2151,자동8,134,14.20 ,2등급,TRUE,,,
싼타페 2.2디젤 AWD 5인 20인치타이어,현대,승용차,다목적형,내연기관,경유,2151,자동8,149,12.80 ,3등급,TRUE,,,
싼타페 2.2디젤 AWD 5인 18인치타이어(빌트인캠),현대,승용차,다목적형,내연기관,경유,2151,자동8,144,13.20 ,3등급,TRUE,,,
싼타페 2.2디젤 2WD 5인 20인치타이어,현대,승용차,다목적형,내연기관,경유,2151,자동8,139,13.60 ,3등급,TRUE,,,
싼타페 2.2디젤 2WD 5인 18인치타이어(빌트인캠),현대,승용차,다목적형,내연기관,경유,2151,자동8,136,13.90 ,2등급,TRUE,,,
싼타페 2.2디젤 AWD 5인 18인치타이어,현대,승용차,다목적형,내연기관,경유,2151,자동8,141,13.50 ,3등급,TRUE,,,
싼타페 2.2디젤 AWD 7인 20인치타이어,현대,승용차,다목적형,내연기관,경유,2151,자동8,149,12.80 ,3등급,TRUE,,,
싼타페 2.2디젤 AWD 7인 18인치타이어,현대,승용차,다목적형,내연기관,경유,2151,자동8,144,13.20 ,3등급,TRUE,,,
싼타페 2.2디젤 2WD 7인 20인치타이어,현대,승용차,다목적형,내연기관,경유,2151,자동8,139,13.60 ,3등급,TRUE,,,
싼타페 2.2디젤 2WD 7인 18인치타이어(빌트인캠),현대,승용차,다목적형,내연기관,경유,2151,자동8,136,13.90 ,2등급,TRUE,,,
DS3 CROSSBACK E-TENSE,PSA Automobiles,승용차,다목적형,전기(MCT),전기,,없음,0,4.30 ,3등급,TRUE,,,
911 카레라 S 카브리올레,포르쉐,승용차,일반형,내연기관,휘발유,2981,자동8,210,8.30 ,5등급,TRUE,,,
911 타르가 4S,포르쉐,승용차,일반형,내연기관,휘발유,2981,자동8,216,8.10 ,5등급,TRUE,,,
911 카레라 4S,포르쉐,승용차,일반형,내연기관,휘발유,2981,자동8,216,8.10 ,5등급,TRUE,,,
911 카레라 카브리올레,포르쉐,승용차,일반형,내연기관,휘발유,2981,자동8,204,8.50 ,5등급,TRUE,,,
911 타르가 4,포르쉐,승용차,일반형,내연기관,휘발유,2981,자동8,213,8.20 ,5등급,TRUE,,,
911 카레라 4 카브리올레,포르쉐,승용차,일반형,내연기관,휘발유,2981,자동8,213,8.20 ,5등급,TRUE,,,
A5 Sportback 40 TFSI quattro,아우디,승용차,일반형,내연기관,휘발유,1984,자동7,150,11.30 ,4등급,TRUE,,,
The Passat GT 2.0 TDI,폭스바겐,승용차,일반형,내연기관,경유,1968,자동7,126,14.90 ,2등급,TRUE,,,
The Passat GT 2.0 TDI 4Motion,폭스바겐,승용차,일반형,내연기관,경유,1968,자동7,136,14.00 ,2등급,TRUE,,,
911 카레라 S,포르쉐,승용차,일반형,내연기관,휘발유,2981,자동8,210,8.30 ,5등급,TRUE,,,
911 카레라 4S 카브리올레,포르쉐,승용차,일반형,내연기관,휘발유,2981,자동8,216,8.10 ,5등급,TRUE,,,
911 카레라,포르쉐,승용차,일반형,내연기관,휘발유,2981,자동8,204,8.50 ,5등급,TRUE,,,
911 카레라 4,포르쉐,승용차,일반형,내연기관,휘발유,2981,자동8,213,8.20 ,5등급,TRUE,,,
"Lincoln Nautilus 2.7 AWD (21"" wheel)",포드,승용차,다목적형,내연기관,휘발유,2694,자동8,192,8.80 ,5등급,TRUE,,,
짚 컴패스 2.4 FWD,크라이슬러,승용차,다목적형,내연기관,휘발유,2360,자동6,181,9.60 ,4등급,TRUE,,,
BMW X5 xDrive40d,BMW,승용차,다목적형,하이브리드,경유,2993,자동8,191,10.10 ,4등급,TRUE,,,
BMW X6 xDrive40d,BMW,승용차,다목적형,하이브리드,경유,2993,자동8,185,10.50 ,4등급,TRUE,,,
Mercedes-Benz GLC 300 4MATIC ,벤츠,승용차,다목적형,내연기관,휘발유,1991,자동9,179,9.70 ,4등급,TRUE,,,
아반떼 1.6 T-GDI 6MT 18인치 타이어,현대,승용차,일반형,내연기관,휘발유,1598,수동6,136,12.30 ,3등급,TRUE,,,
아반떼 1.6 T-GDI 7DCT 18인치 타이어,현대,승용차,일반형,내연기관,휘발유,1598,자동7,130,12.80 ,3등급,TRUE,,,
BMW X7 M50i,BMW,승용차,다목적형,내연기관,휘발유,4395,자동8,265,6.50 ,5등급,TRUE,,,
BMW X6 M50i,BMW,승용차,다목적형,내연기관,휘발유,4395,자동8,247,7.00 ,5등급,TRUE,,,
BMW X5 M50i,BMW,승용차,다목적형,내연기관,휘발유,4395,자동8,260,6.60 ,5등급,TRUE,,,
벤츠 E 220 d Cabriolet,벤츠,승용차,일반형,내연기관,경유,1950,자동9,142,13.40 ,3등급,TRUE,,,
Peugeot 2008 1.5 BlueHDi,PSA Automobiles,승용차,다목적형,내연기관,경유,1499,자동8,109,17.10 ,1등급,TRUE,,,
BMW 330e,BMW,승용차,일반형,PHEV,전기+휘발유,1998,자동8,34,3.4 / 11.8,PHEV,,,,
A5 Coupe 45 TFSI quattro,아우디,승용차,일반형,내연기관,휘발유,1984,자동7,159,10.80 ,4등급,TRUE,,,
A5 Cabriolet 45 TFSI quattro,아우디,승용차,일반형,내연기관,휘발유,1984,자동7,164,10.50 ,4등급,TRUE,,,
A4 45 TFSI quattro,아우디,승용차,일반형,내연기관,휘발유,1984,자동7,164,10.50 ,4등급,TRUE,,,
벨로스터 N 2.0T-GDI (PP)_21MY,현대,승용차,일반형,내연기관,휘발유,1998,수동6,162,10.50 ,4등급,TRUE,,,
벨로스터 N 2.0T-GDI (STD)_21MY,현대,승용차,일반형,내연기관,휘발유,1998,수동6,159,10.70 ,4등급,TRUE,,,
BMW X4 M40i,BMW,승용차,다목적형,내연기관,휘발유,2998,자동8,195,8.70 ,5등급,TRUE,,,
BMW X3 M40i,BMW,승용차,다목적형,내연기관,휘발유,2998,자동8,196,8.70 ,5등급,TRUE,,,
Peugeot e-2008 SUV,PSA Automobiles,승용차,다목적형,전기(MCT),전기,,없음,0,4.30 ,3등급,TRUE,,,
캐딜락 CT5 2.0T,GM,승용차,일반형,내연기관,휘발유,1998,자동10,170,10.20 ,4등급,TRUE,,,
쏘나타(DN8) 2.5 T-GDI_19인치타이어(빌트인캠),현대,승용차,일반형,내연기관,휘발유,2497,자동8,155,10.90 ,4등급,TRUE,,,
쏘나타(DN8) 2.5 T-GDI_19인치타이어,현대,승용차,일반형,내연기관,휘발유,2497,자동8,152,11.10 ,4등급,TRUE,,,
Mercedes-AMG GLC 63 S 4MATIC + Coupe,벤츠,승용차,다목적형,내연기관,휘발유,3982,자동9,256,7.00 ,5등급,TRUE,,,
ZOE,르노코리아자동차(주),승용차,일반형,전기(MCT),전기,,없음,0,4.80 ,3등급,TRUE,,,
벤츠 E 350 4MATIC,벤츠,승용차,일반형,하이브리드,휘발유,1991,자동9,171,10.20 ,4등급,TRUE,,,
A8 L 60 TFSI quattro,아우디,승용차,일반형,하이브리드,휘발유,3996,자동8,226,7.70 ,5등급,TRUE,,,
A8 L 60 TFSI quattro,아우디,승용차,일반형,하이브리드,휘발유,3996,자동8,226,7.70 ,5등급,TRUE,,,
아반떼 1.6GDI 하이브리드 (16“타이어),현대,승용차,일반형,하이브리드,휘발유,1580,자동6,74,21.10 ,1등급,TRUE,,,
아반떼 1.6GDI 하이브리드 (17“타이어),현대,승용차,일반형,하이브리드,휘발유,1580,자동6,81,19.50 ,1등급,TRUE,,,
Mercedes-Benz GLB 220,벤츠,승용차,일반형,내연기관,휘발유,1991,자동8,150,11.50 ,4등급,TRUE,,,
718 카이맨 S,포르쉐,승용차,일반형,내연기관,휘발유,2497,자동7,198,8.70 ,5등급,TRUE,,,
718 카이맨,포르쉐,승용차,일반형,내연기관,휘발유,1988,자동7,186,9.30 ,5등급,TRUE,,,
Mercedes-AMG GLC 43 4MATIC,벤츠,승용차,다목적형,내연기관,휘발유,2996,자동9,212,8.30 ,5등급,TRUE,,,
Mercedes-Benz GLE 450 4MATIC,벤츠,승용차,다목적형,하이브리드,휘발유,2999,자동9,200,8.70 ,5등급,TRUE,,,
718 박스터 S,포르쉐,승용차,일반형,내연기관,휘발유,2497,자동7,198,8.70 ,5등급,TRUE,,,
718 박스터,포르쉐,승용차,일반형,내연기관,휘발유,1988,자동7,186,9.30 ,5등급,TRUE,,,
"SM6 2.0 LPLi New (19"" Tire)",르노코리아자동차(주),승용차,일반형,내연기관,LPG,1998,무단변속,142,9.20 ,5등급,TRUE,,,
"SM6 2.0 LPLi New (18"" Tire)",르노코리아자동차(주),승용차,일반형,내연기관,LPG,1998,무단변속,139,9.40 ,4등급,TRUE,,,
BMW 320d Touring,BMW,승용차,일반형,내연기관,경유,1995,자동8,134,14.10 ,2등급,TRUE,,,
Mercedes-Benz GLE 300 d 4MATIC,벤츠,승용차,다목적형,내연기관,경유,1950,자동9,181,10.70 ,4등급,TRUE,,,
벤츠 E 220 d Coupe,벤츠,승용차,일반형,내연기관,경유,1950,자동9,139,13.70 ,3등급,TRUE,,,
Mercedes-Benz E 450 4MATIC Cabriolet,벤츠,승용차,일반형,내연기관,휘발유,2996,자동9,198,8.90 ,5등급,TRUE,,,
짚 컴패스 2.4 AWD (Limited),크라이슬러,승용차,다목적형,내연기관,휘발유,2360,자동9,189,9.20 ,5등급,TRUE,,,
짚 컴패스 2.4 AWD,크라이슬러,승용차,다목적형,내연기관,휘발유,2360,자동9,189,9.20 ,5등급,TRUE,,,
짚 레니게이드 2.4 FWD,크라이슬러,승용차,다목적형,내연기관,휘발유,2360,자동9,171,10.00 ,4등급,TRUE,,,
짚 레니게이드 2.4 AWD,크라이슬러,승용차,다목적형,내연기관,휘발유,2360,자동9,188,9.20 ,5등급,TRUE,,,
BMW X5 xDrive45e iPerformance,BMW,승용차,다목적형,PHEV,전기+휘발유,2998,자동8,43,2.3 / 8.1,PHEV,,,,
Mercedes-Benz GLS 400 d 4MATIC,벤츠,승용차,다목적형,내연기관,경유,2925,자동9,199,9.80 ,4등급,TRUE,,,
쏘나타(DN8) 1.6 T-GDI_18인치타이어_21MY,현대,승용차,일반형,내연기관,휘발유,1598,자동8,126,13.20 ,3등급,TRUE,,,
쏘나타(DN8) 1.6 T-GDI_17인치타이어(빌트인캠)_21MY,현대,승용차,일반형,내연기관,휘발유,1598,자동8,122,13.60 ,3등급,TRUE,,,
쏘나타(DN8) 1.6 T-GDI_17인치타이어_21MY,현대,승용차,일반형,내연기관,휘발유,1598,자동8,120,13.80 ,2등급,TRUE,,,
쏘나타(DN8) 2.0LPI_18인치타이어_21MY,현대,승용차,일반형,내연기관,LPG,1999,자동6,132,9.90 ,4등급,TRUE,,,
쏘나타(DN8) 2.0LPI_17인치타이어_21MY,현대,승용차,일반형,내연기관,LPG,1999,자동6,128,10.20 ,4등급,TRUE,,,
쏘나타(DN8) 2.0LPI_16인치타이어_21MY,현대,승용차,일반형,내연기관,LPG,1999,자동6,128,10.20 ,4등급,TRUE,,,
쏘나타(DN8) 2.0CVVL_18인치타이어(빌트인캠)_21MY,현대,승용차,일반형,내연기관,휘발유,1999,자동6,133,12.60 ,3등급,TRUE,,,
쏘나타(DN8) 2.0CVVL_18인치타이어_21MY,현대,승용차,일반형,내연기관,휘발유,1999,자동6,130,12.80 ,3등급,TRUE,,,
쏘나타(DN8) 2.0CVVL_17인치타이어(빌트인캠)_21MY,현대,승용차,일반형,내연기관,휘발유,1999,자동6,130,12.80 ,3등급,TRUE,,,
Mercedes-AMG CLS 53 4MATIC +,벤츠,승용차,일반형,하이브리드,휘발유,2999,자동9,189,9.20 ,5등급,TRUE,,,
쏘나타(DN8) 2.0CVVL_17인치타이어_21MY,현대,승용차,일반형,내연기관,휘발유,1999,자동6,129,12.90 ,3등급,TRUE,,,
"SM6 2.0 LPLi New (16"" Tire)",르노코리아자동차(주),승용차,일반형,내연기관,LPG,1998,무단변속,137,9.50 ,4등급,TRUE,,,
"SM6 1.8 (19"" Tire)",르노코리아자동차(주),승용차,일반형,내연기관,휘발유,1798,자동7,144,11.60 ,3등급,TRUE,,,
"SM6 1.8 (18"" Tire)",르노코리아자동차(주),승용차,일반형,내연기관,휘발유,1798,자동7,141,11.80 ,3등급,TRUE,,,
"SM6 1.3 (19"" Tire)",르노코리아자동차(주),승용차,일반형,내연기관,휘발유,1332,자동7,128,12.90 ,3등급,TRUE,,,
"SM6 1.3 (18"" Tire)",르노코리아자동차(주),승용차,일반형,내연기관,휘발유,1332,자동7,123,13.30 ,3등급,TRUE,,,
"SM6 1.3 (16"" Tire)",르노코리아자동차(주),승용차,일반형,내연기관,휘발유,1332,자동7,121,13.60 ,3등급,TRUE,,,
Mercedes-Benz GLE 400 d 4MATIC Coupe,벤츠,승용차,다목적형,내연기관,경유,2925,자동9,184,10.50 ,4등급,TRUE,,,
캐딜락 CT4 2.0T,GM,승용차,일반형,내연기관,휘발유,1998,자동8,161,10.60 ,4등급,TRUE,,,
벤츠 E 220 d,벤츠,승용차,일반형,내연기관,경유,1950,자동9,136,13.90 ,2등급,TRUE,,,
모닝(JA PE)_1.0가솔린_14인치타이어_밴형,기아,승용차,일반형,내연기관,휘발유,998,자동4,104,15.70 ,경형,TRUE,,,
Mercedes-Benz GLS 580 4MATIC,벤츠,승용차,다목적형,하이브리드,휘발유,3982,자동9,243,7.30 ,5등급,TRUE,,,
Mercedes-AMG GLC 43 4MATIC Coupe,벤츠,승용차,다목적형,내연기관,휘발유,2996,자동9,217,8.10 ,5등급,TRUE,,,
벤츠 C 200 Cabriolet,벤츠,승용차,일반형,내연기관,휘발유,1991,자동9,167,10.40 ,4등급,TRUE,,,
MINI John Cooper Works Clubman ALL4,BMW,승용차,일반형,내연기관,휘발유,1998,자동8,170,10.00 ,4등급,TRUE,,,
모닝(JA PE)_1.0가솔린_16인치타이어,기아,승용차,일반형,내연기관,휘발유,998,자동4,112,14.70 ,경형,TRUE,,,
모닝(JA PE)_1.0가솔린_14인치타이어,기아,승용차,일반형,내연기관,휘발유,998,자동4,104,15.70 ,경형,TRUE,,,
Lincoln Corsair 2.0 (19인치),포드,승용차,다목적형,내연기관,휘발유,1999,자동8,184,9.20 ,5등급,TRUE,,,
K3 1.6 가솔린 21MY CVT (15인치 타이어),기아,승용차,일반형,내연기관,휘발유,1598,무단변속,108,15.20 ,2등급,TRUE,,,
K3 1.6 가솔린 21MY CVT (17인치 타이어),기아,승용차,일반형,내연기관,휘발유,1598,무단변속,117,14.10 ,2등급,TRUE,,,
Lincoln Corsair 2.0,포드,승용차,다목적형,내연기관,휘발유,1999,자동8,184,9.20 ,5등급,TRUE,,,
Mercedes-AMG S 63 4MATIC Coupe,벤츠,승용차,일반형,내연기관,휘발유,3982,자동9,241,7.40 ,5등급,TRUE,,,
Mercedes-Benz S 450 4MATIC(4인승),벤츠,승용차,일반형,내연기관,휘발유,2996,자동9,208,8.50 ,5등급,TRUE,,,
Mercedes-Benz S 450 4MATIC,벤츠,승용차,일반형,내연기관,휘발유,2996,자동9,208,8.50 ,5등급,TRUE,,,
Mercedes-Benz S 450 4MATIC Coupe,벤츠,승용차,일반형,내연기관,휘발유,2996,자동9,213,8.30 ,5등급,TRUE,,,
BMW M235i xDrive Gran Coupe,BMW,승용차,일반형,내연기관,휘발유,1998,자동8,161,10.40 ,4등급,TRUE,,,
BMW 320i Touring,BMW,승용차,일반형,내연기관,휘발유,1998,자동8,143,11.70 ,3등급,TRUE,,,
BMW M340i xDrive Touring,BMW,승용차,일반형,내연기관,휘발유,2998,자동8,170,9.90 ,4등급,TRUE,,,
"Mercedes-Benz C 200 Coupe	",벤츠,승용차,일반형,내연기관,휘발유,1991,자동9,156,11.10 ,4등급,TRUE,,,
BMW X5 M,BMW,승용차,다목적형,내연기관,휘발유,4395,자동8,258,6.70 ,5등급,TRUE,,,
Mercedes-AMG C 63 S Coupe,벤츠,승용차,일반형,내연기관,휘발유,3982,자동9,220,8.00 ,5등급,TRUE,,,
Peugeot e-208,PSA Automobiles,승용차,일반형,전기(MCT),전기,,없음,0,4.40 ,3등급,TRUE,,,
ODYSSEY,혼다,승용차,일반형,내연기관,휘발유,3471,자동10,187,9.00 ,5등급,TRUE,,,
BMW M2 CS,BMW,승용차,일반형,내연기관,휘발유,2979,자동7,195,8.70 ,5등급,TRUE,,,
카이엔,포르쉐,승용차,다목적형,내연기관,휘발유,2995,자동8,223,7.80 ,5등급,TRUE,,,
Mercedes-Benz GLE 300 d 4MATIC,벤츠,승용차,다목적형,내연기관,경유,1950,자동9,181,10.70 ,4등급,TRUE,,,
Mercedes-AMG C 43 4MATIC Coupe,벤츠,승용차,일반형,내연기관,휘발유,2996,자동9,201,8.70 ,5등급,TRUE,,,
X5 M Competition,BMW,승용차,다목적형,내연기관,휘발유,4395,자동8,258,6.70 ,5등급,TRUE,,,
쏘렌토 2.2디젤 2WD 5인 18인치타이어,기아,승용차,다목적형,내연기관,경유,2151,자동8,133,14.30 ,2등급,TRUE,,,
