모델명,제조/수입사,차종,유형,자동차형식,연료종류,배기량,변속형식,복합모드_CO2,복합_연비,등급,,행 레이블,평균 : 복합_연비,
짚 랭글러 스포츠,크라이슬러,승용차,다목적형,내연기관,휘발유,1995,자동8,205,8.20 ,5등급,TRUE,,,
짚 랭글러 사하라,크라이슬러,승용차,다목적형,내연기관,휘발유,1995,자동8,209,8.00 ,5등급,TRUE,,,
짚 랭글러 루비콘,크라이슬러,승용차,다목적형,내연기관,휘발유,1995,자동8,223,7.50 ,5등급,TRUE,,,
짚 랭글러 루비콘,크라이슬러,승용차,다목적형,내연기관,휘발유,1995,자동8,223,7.60 ,5등급,TRUE,,,
Mercedes-Benz C 300 4MATIC,벤츠,승용차,일반형,하이브리드,휘발유,1999,자동9,154,11.10 ,4등급,TRUE,,,
레인지로버 벨라 P400,랜드로버,승용차,다목적형,하이브리드,휘발유,2996,자동8,190,8.90 ,5등급,TRUE,,,
Mercedes-AMG EQE 53 4MATIC +,벤츠,승용차,일반형,전기(MCT),전기,,없음,0,3.60 ,4등급,TRUE,,,
"Mercedes-Benz EQS 450 4MATIC	",벤츠,승용차,일반형,전기(MCT),전기,,없음,0,4.00 ,4등급,TRUE,,,
"Mercedes-Benz EQS 450 + 	",벤츠,승용차,일반형,전기(MCT),전기,,없음,0,4.20 ,3등급,TRUE,,,
Mercedes-Maybach S 680,벤츠,승용차,일반형,내연기관,휘발유,5980,자동9,295,6.00 ,5등급,TRUE,,,
"Mercedes-Benz S 450 d 4MATIC 	",벤츠,승용차,일반형,하이브리드,경유,2989,자동9,152,12.60 ,3등급,TRUE,,,
볼보 C40 Recharge Twin,볼보,승용차,다목적형,전기(MCT),전기,,없음,0,4.60 ,3등급,TRUE,,,
BMW i7 eDrive50,BMW,승용차,일반형,전기(MCT),전기,,없음,0,3.80 ,4등급,TRUE,,,
BMW i5 eDrive40,BMW,승용차,일반형,전기(MCT),전기,,없음,0,4.10 ,4등급,TRUE,,,
BMW 523d xDrive,BMW,승용차,일반형,하이브리드,경유,1995,자동8,138,13.80 ,2등급,TRUE,,,
BMW 523d,BMW,승용차,일반형,하이브리드,경유,1995,자동8,128,14.70 ,2등급,TRUE,,,
쏘렌토(PE) 1.6T-GDI HEV 2WD 5인 17인치(빌트인캠),기아,승용차,다목적형,하이브리드,휘발유,1598,자동6,105,15.30 ,2등급,TRUE,,,
쏘렌토(PE) 1.6T-GDI 하이브리드 2WD 5인 17인치,기아,승용차,다목적형,하이브리드,휘발유,1598,자동6,102,15.70 ,2등급,TRUE,,,
쏘렌토(PE) 1.6T-GDI 하이브리드 4WD 6인 17인치,기아,승용차,다목적형,하이브리드,휘발유,1598,자동6,118,13.80 ,2등급,TRUE,,,
쏘렌토(PE) 1.6T-GDI 하이브리드 4WD 5인 17인치,기아,승용차,다목적형,하이브리드,휘발유,1598,자동6,118,13.80 ,2등급,TRUE,,,
쏘렌토(PE) 1.6T-GDI 하이브리드 4WD 7인 17인치,기아,승용차,다목적형,하이브리드,휘발유,1598,자동6,118,13.80 ,2등급,TRUE,,,
쏘렌토(PE) 1.6T-GDI 하이브리드 4WD 5인 18인치,기아,승용차,다목적형,하이브리드,휘발유,1598,자동6,118,13.80 ,2등급,TRUE,,,
쏘렌토(PE) 1.6T-GDI 하이브리드 4WD 6인 18인치,기아,승용차,다목적형,하이브리드,휘발유,1598,자동6,118,13.80 ,2등급,TRUE,,,
쏘렌토(PE) 1.6T-GDI 하이브리드 2WD 6인 17인치,기아,승용차,다목적형,하이브리드,휘발유,1598,자동6,109,14.80 ,2등급,TRUE,,,
쏘렌토(PE) 1.6T-GDI 하이브리드 2WD 6인 18인치,기아,승용차,다목적형,하이브리드,휘발유,1598,자동6,109,14.80 ,2등급,TRUE,,,
쏘렌토(PE) 1.6T-GDI 하이브리드 2WD 7인 17인치,기아,승용차,다목적형,하이브리드,휘발유,1598,자동6,109,14.80 ,2등급,TRUE,,,
쏘렌토(PE) 1.6T-GDI HEV 2WD 5인 18인치(빌트인캠),기아,승용차,다목적형,하이브리드,휘발유,1598,자동6,105,15.30 ,2등급,TRUE,,,
쏘렌토(PE) 1.6T-GDI 하이브리드 2WD 5인 18인치,기아,승용차,다목적형,하이브리드,휘발유,1598,자동6,102,15.70 ,2등급,TRUE,,,
쏘렌토(PE) 1.6T-GDI 하이브리드 4WD 7인 18인치,기아,승용차,다목적형,하이브리드,휘발유,1598,자동6,118,13.80 ,2등급,TRUE,,,
쏘렌토(PE) 1.6T-GDI 하이브리드 2WD 7인 18인치,기아,승용차,다목적형,하이브리드,휘발유,1598,자동6,109,14.80 ,2등급,TRUE,,,
Mercedes-Maybach S 580(5seater),벤츠,승용차,일반형,하이브리드,휘발유,3982,자동9,219,8.00 ,5등급,TRUE,,,
쏘렌토(PE) 2.2디젤 2WD 6인 18인치(빌트인캠),기아,승용차,다목적형,내연기관,경유,2151,자동8,139,13.70 ,3등급,TRUE,,,
쏘렌토(PE) 2.2디젤 2WD 6인 18인치,기아,승용차,다목적형,내연기관,경유,2151,자동8,137,13.90 ,2등급,TRUE,,,
쏘렌토(PE) 2.2디젤 4WD 5인 18인치(빌트인캠),기아,승용차,다목적형,내연기관,경유,2151,자동8,146,13.10 ,3등급,TRUE,,,
쏘렌토(PE) 2.2디젤 4WD 6인 18인치(빌트인캠),기아,승용차,다목적형,내연기관,경유,2151,자동8,146,13.10 ,3등급,TRUE,,,
쏘렌토(PE) 2.2디젤 4WD 5인 18인치,기아,승용차,다목적형,내연기관,경유,2151,자동8,143,13.30 ,3등급,TRUE,,,
쏘렌토(PE) 2.2디젤 4WD 6인 18인치,기아,승용차,다목적형,내연기관,경유,2151,자동8,143,13.30 ,3등급,TRUE,,,
쏘렌토(PE) 2.2디젤 4WD 5인 20인치,기아,승용차,다목적형,내연기관,경유,2151,자동8,152,12.60 ,3등급,TRUE,,,
쏘렌토(PE) 2.2디젤 4WD 6인 20인치,기아,승용차,다목적형,내연기관,경유,2151,자동8,152,12.60 ,3등급,TRUE,,,
쏘렌토(PE) 2.2디젤 2WD 5인 20인치,기아,승용차,다목적형,내연기관,경유,2151,자동8,144,13.20 ,3등급,TRUE,,,
쏘렌토(PE) 2.2디젤 2WD 6인 20인치,기아,승용차,다목적형,내연기관,경유,2151,자동8,144,13.20 ,3등급,TRUE,,,
쏘렌토(PE) 2.2디젤 2WD 5인 18인치(빌트인캠),기아,승용차,다목적형,내연기관,경유,2151,자동8,135,14.00 ,2등급,TRUE,,,
쏘렌토(PE) 2.2디젤 2WD 5인 18인치,기아,승용차,다목적형,내연기관,경유,2151,자동8,132,14.30 ,2등급,TRUE,,,
쏘렌토(PE) 2.2디젤 2WD 7인 18인치(빌트인캠),기아,승용차,다목적형,내연기관,경유,2151,자동8,139,13.70 ,3등급,TRUE,,,
쏘렌토(PE) 2.2디젤 2WD 7인 18인치,기아,승용차,다목적형,내연기관,경유,2151,자동8,137,13.90 ,2등급,TRUE,,,
싼타페(MX5) 2.5T-GDI 2WD 6/7인 20인치타이어,현대,승용차,다목적형,내연기관,휘발유,2497,자동8,168,10.00 ,4등급,TRUE,,,
싼타페(MX5) 2.5T-GDI AWD 7인 20인치타이어,현대,승용차,다목적형,내연기관,휘발유,2497,자동8,181,9.40 ,4등급,TRUE,,,
